ID,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Ward,Community Area,Latitude,Longitude,Location
11582353,2/1/19 0:00,109XX S ARTESIAN AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,22,19,75,41.69492253,-87.68253188,"(41.694922529, -87.682531881)"
11591776,2/1/19 0:00,005XX W 97TH ST,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,22,21,73,41.71791148,-87.63661338,"(41.717911476, -87.636613378)"
11583385,2/1/19 0:00,092XX S HALSTED ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,22,21,73,41.72615208,-87.6433381,"(41.726152076, -87.643338104)"
11582722,2/1/19 0:00,077XX S EMERALD AVE,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,FALSE,FALSE,6,17,71,41.75336747,-87.64289278,"(41.753367468, -87.642892778)"
11607227,2/1/19 0:00,071XX S GREENWOOD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,3,5,69,41.76517096,-87.59825577,"(41.765170958, -87.598255774)"
11582378,2/1/19 0:00,062XX S TROY ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,8,16,66,41.78003874,-87.70194704,"(41.780038735, -87.701947043)"
11589577,2/1/19 0:00,011XX N LAWNDALE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,11,27,23,41.90175692,-87.71896541,"(41.901756915, -87.718965411)"
11594533,2/1/19 0:00,016XX W FULLERTON AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,19,32,7,41.92514556,-87.66862953,"(41.925145559, -87.66862953)"
11603890,2/1/19 0:01,008XX W 76TH ST,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,6,17,71,41.75607752,-87.64587637,"(41.75607752, -87.64587637)"
11585634,2/1/19 0:01,068XX S MERRILL AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,3,5,43,41.77117697,-87.57276811,"(41.771176968, -87.57276811)"
